strategy,total_return,return_pct,return_before_costs,return_after_costs,cagr,max_drawdown,sharpe,sortino,profit_factor,win_rate,avg_win,avg_loss,expectancy_per_trade,exposure,turnover,in_sample_return,out_of_sample_return,holdout_return,walk_forward_consistency,walk_forward_mean_oos_return,robustness_score
10_clean_combo_momo_regime_ratio_overlay,7.154853381050335,715.4853381050335,8.862325846374736,7.154853381050335,0.20437156353003605,-0.2732268400539668,0.9863060795506409,0.6664501472291949,4.9869058999036335,0.5666666666666667,0.19745496586198144,-0.05177766437869823,0.08945415942435361,0.40599223677826296,28.154318681999946,6.163288038106803,-0.14782501666776915,0.3560092495252549,0.4,0.15492122890250573,1.0
11_vol_expansion_breakout,27.633336670791408,2763.333667079141,30.10182628126891,27.633336670791408,0.3461494432193142,-0.2789764446219881,1.3084391553247399,0.7480923747279804,4.33092133821282,0.5970149253731343,0.1319705587899179,-0.045143267143407786,0.06059633042872694,0.26103833090732653,12.18604185457501,20.889977330974876,0.21899059667346732,0.07306564898965662,0.6,0.32214435793703106,1.0
12_squeeze_compression_expansion,12.474448562068293,1247.4448562068294,18.604891129454373,12.474448562068293,0.259174310520343,-0.28915087528005134,1.1617960980342137,0.7379886784486515,3.0831760696308903,0.10909090909090909,0.13273031723897757,-0.005271412186576588,0.009783321932574777,0.21421639980591944,55.31171313018345,7.648347395174426,0.22814191818191087,0.2686134738633166,0.6,0.2511109983539737,1.0
13_drawdown_recovery_momentum,10.6957000247898,1069.57000247898,11.278519459519423,10.6957000247898,0.24347682208336452,-0.5328989764728116,0.8985235599664443,0.5129525776928594,3.8116195477999875,0.4482758620689655,0.4000666707304514,-0.08527980452721426,0.13228930507104963,0.3185346918971373,7.193213023769896,17.284774778564614,-0.30449221466922927,-0.06600248758931582,0.6,-0.01239922118987109,1.0
14_funding_sentiment_filter,31.403325736190588,3140.3325736190586,38.60406476642538,31.403325736190588,0.36098453202072767,-0.3975885113316213,1.32089748063134,1.0728330269507453,2.653852837985023,0.43915343915343913,0.08658718258497118,-0.02554753478189705,0.02369681199826202,0.5340853954391073,29.557748710282418,32.372509273745116,0.11677888770823275,-0.13057218733735465,0.6,0.3221119435157992,1.0
15_volume_confirmed_breakout,113.5421638481593,11354.21638481593,123.13262362989833,113.5421638481593,0.5221053512889771,-0.5064403279296877,1.3719283634003383,1.0201201694865814,4.863791091052533,0.5416666666666666,0.33033526082968334,-0.08026582763029175,0.14214309528552813,0.507399320718098,11.745728868910161,87.31087364339874,0.4263901370360099,-0.0906880995770527,0.6,0.5255996412317462,1.0
16_time_of_day_session_effect,9.292692741139232,929.2692741139232,53.06206512172605,9.292692741139232,0.22947610404942842,-0.561401318802951,0.8065120135861651,0.7482099295862294,1.2113082552472862,0.5188284518828452,0.019152960738356983,-0.017049242429436944,0.0017334905948578128,0.20293546821931102,245.14975317941494,17.77361446792949,-0.47447506264056016,0.06045399581928068,0.2,0.21410987560243377,1.0
17_regime_switching_model,153.7542848064638,15375.42848064638,177.25297982695207,153.7542848064638,0.5632340817163815,-0.46972135485819644,1.4164322553743292,1.0992932913615903,3.6467957878912447,0.47540983606557374,0.17559206080315687,-0.043635650131886826,0.06058735998477331,0.5332362930616206,20.75886000957168,123.84070704488595,0.1242398236893536,0.10262414345628756,0.6,0.5949658685779416,1.0
18_trend_strength_filter,57.0307167684138,5703.0716768413795,61.51097551316661,57.0307167684138,0.4331034776886753,-0.30618355243895956,1.3181447203097727,0.8412367161850957,6.413590819377166,0.49019607843137253,0.2873373912244218,-0.043078200789746696,0.11889022666817906,0.368753032508491,10.985648154819065,46.334982449110264,0.002830300150847176,0.24089763563247613,0.4,0.4530586886507937,1.0
19_momentum_decay_exit,18.730482556108893,1873.0482556108893,25.269854677996975,18.730482556108893,0.3024528795923467,-0.3499552513039055,1.2543412028071539,0.7730847871164435,2.557425290266398,0.3467153284671533,0.058325212406224985,-0.012103861561830331,0.012314977952641408,0.1982047549733139,42.05326909260776,13.301126590941813,0.29892210875413205,0.06214631622722222,0.8,0.15279147005908364,1.0
20_cross_asset_risk_on_filter,25.95902596166988,2595.902596166988,28.22880918803382,25.95902596166988,0.3389814274778793,-0.17579054676456707,1.5443148696937723,0.8019555388802355,5.371185915256769,0.589041095890411,0.10964186133582617,-0.029258591503034607,0.05255948345684229,0.1546579330422125,11.956686634327243,27.957471636373665,-0.09394378227728184,0.04351698435182394,0.2,0.26505019975407684,1.0
